	OS052	OS152	OS186	OS457	OS525	OS526	OS384	OS742	OS766	OS774	OS833	SJSA	U2OS	MG63	MG63.3	SaOS2	HuO9	HOS	c143B
PLK4	3.604151689	5.797177017	5.497830367	4.840740559	4.933986032	5.900756629	1.024955328	4.42068212	4.749933678	5.31220762	5.368003151	3.740778298	4.878922469	3.520510425	4.183695679	4.475922291	4.414772331	4.200541214	5.097195503
PLOD1	9.187322825	8.825196413	7.467186215	8.940355021	7.790757358	8.937912203	10.45903435	8.034862384	9.385303026	8.031253594	8.076657957	10.02255715	8.552463553	7.962239302	8.381663307	9.871446467	8.783815225	7.541875824	6.527670456
PLOD2	6.374952114	7.63137898	7.175278096	7.531657396	7.465407172	9.811825083	3.908634413	7.62165738	8.382661695	7.011535004	6.107849657	6.353185184	6.145155044	6.415831964	7.008011085	7.375364329	9.006946807	5.961271265	6.679645534
PLOD3	8.028261684	7.687435971	6.981347636	7.964911847	6.886500953	7.37061955	8.728847758	6.763071812	7.786184036	7.189862077	6.717132786	7.606144255	6.757995527	6.84882483	6.782789317	8.591218463	7.322124012	6.241926124	5.75289279
PLP2	8.840851814	6.616363283	5.563631825	8.450353631	6.707637466	7.532542254	9.897487361	5.010772963	6.237555235	7.090743038	6.114812847	8.093107986	7.266860242	7.596439235	8.172088452	7.433997703	7.086472456	8.083828132	6.060610501
PLPBP	5.817087916	4.854798486	4.702259266	4.931275434	4.747671281	4.805820397	5.409049281	4.811513932	5.075244142	5.202361987	5.101909615	5.483952843	5.948129786	5.584086114	5.457186688	3.996185009	4.73281112	5.145440307	5.663218933
PLPP1	4.998860594	4.193793481	3.086150443	3.641549203	3.181247844	3.723107615	5.343702965	3.777508237	3.771759441	3.785456205	6.744673557	4.484875871	3.713204853	5.01563727	5.2688989	3.753040046	4.05181264	3.495753821	3.169847908
PLPP2	0.018431817	5.71059086	1.804094349	0.216935163	0.082729123	4.790287392	7.124969436	0.690997542	1.239496972	2.310227853	3.028790652	3.232176385	5.152299741	4.680036171	5.874328771	0.604179028	0.069240538	3.486053623	5.882557789
PLPP3	3.108482387	4.876294276	3.128931956	6.450304195	4.001843389	4.368537542	2.133212866	4.178607903	2.123511492	3.732101729	2.704546267	4.623980821	5.060140295	7.000753403	6.105444437	4.415368643	0.288345654	3.29927662	2.468698421
PLPP4	1.083138005	4.443793141	3.254990133	0.958395144	1.729667822	2.800258176	6.938372425	4.985168337	4.818811617	1.096140471	1.954110005	2.288485361	3.830608045	0.037205002	0	3.043645267	0.069240538	1.773545495	1.158381488
